order_book_id,announce_date,return_on_equity,listed_date
000001.XSHE,2001-04-14,17.2282,1991-04-03
000001.XSHE,2002-04-19,11.2624,1991-04-03
000001.XSHE,2003-04-24,11.6886,1991-04-03
000001.XSHE,2004-04-15,8.0082,1991-04-03
000001.XSHE,2005-04-26,6.383,1991-04-03
000001.XSHE,2006-04-01,7.1947,1991-04-03
000001.XSHE,2007-03-22,22.6025,1991-04-03
000001.XSHE,2008-03-20,27.0355,1991-04-03
000001.XSHE,2009-03-20,4.1761,1991-04-03
000001.XSHE,2010-03-12,27.2887,1991-04-03
000001.XSHE,2011-02-25,23.2809,1991-04-03
000001.XSHE,2012-03-09,19.3011,1991-04-03
000001.XSHE,2013-03-08,16.9537,1991-04-03
000001.XSHE,2014-03-07,15.4724,1991-04-03
000001.XSHE,2015-03-13,16.2959,1991-04-03
000001.XSHE,2016-03-10,14.953,1991-04-03
000001.XSHE,2017-03-17,12.4283,1991-04-03
000001.XSHE,2018-03-15,10.9324,1991-04-03
000001.XSHE,2019-03-07,10.7415,1991-04-03
000001.XSHE,2020-02-14,10.1966,1991-04-03
000002.XSHE,2001-03-20,12.0511,1991-01-29
000002.XSHE,2002-03-15,12.4634,1991-01-29
000002.XSHE,2003-03-18,11.758,1991-01-29
000002.XSHE,2004-03-09,13.2127,1991-01-29
000002.XSHE,2005-03-22,16.1049,1991-01-29
000002.XSHE,2006-03-21,18.6105,1991-01-29
000002.XSHE,2007-03-20,18.5809,1991-01-29
000002.XSHE,2008-03-21,21.916,1991-01-29
000002.XSHE,2009-03-10,13.1866,1991-01-29
000002.XSHE,2010-03-02,15.3888,1991-01-29
000002.XSHE,2011-03-08,17.8489,1991-01-29
000002.XSHE,2012-03-13,19.8042,1991-01-29
000002.XSHE,2013-02-28,21.493,1991-01-29
000002.XSHE,2014-03-07,21.4872,1991-01-29
000002.XSHE,2015-03-31,19.0784,1991-01-29
000002.XSHE,2016-03-14,19.2403,1991-01-29
000002.XSHE,2017-03-27,19.6815,1991-01-29
000002.XSHE,2018-03-27,22.7952,1991-01-29
000002.XSHE,2019-03-26,23.4175,1991-01-29
000002.XSHE,2020-03-18,22.6117,1991-01-29
000008.XSHE,2001-04-30,18.9962,1992-05-07
000008.XSHE,2002-04-29,-419.2033,1992-05-07
000008.XSHE,2005-02-03,74.628,1992-05-07
000008.XSHE,2006-02-25,-7.4998,1992-05-07
000008.XSHE,2007-03-29,-2.5246,1992-05-07
000008.XSHE,2008-03-21,2.3245,1992-05-07
000008.XSHE,2009-03-07,1.0165,1992-05-07
000008.XSHE,2010-03-27,0.4284,1992-05-07
000008.XSHE,2011-02-25,1.205,1992-05-07
000008.XSHE,2012-03-03,-0.7277,1992-05-07
000008.XSHE,2013-03-29,7.4276,1992-05-07
000008.XSHE,2014-03-29,4.1213,1992-05-07
000008.XSHE,2015-02-10,1.3688,1992-05-07
000008.XSHE,2016-04-27,10.6726,1992-05-07
000008.XSHE,2017-04-01,11.5699,1992-05-07
000008.XSHE,2018-04-26,13.2206,1992-05-07
000008.XSHE,2019-04-25,4.5088,1992-05-07
000008.XSHE,2020-04-24,5.8816,1992-05-07
000009.XSHE,2001-04-18,2.9275,1991-06-25
000009.XSHE,2002-04-20,3.4733,1991-06-25
000009.XSHE,2003-04-19,1.1856,1991-06-25
000009.XSHE,2004-04-24,1.1324,1991-06-25
000009.XSHE,2005-04-19,1.4396,1991-06-25
000009.XSHE,2006-04-29,6.3602,1991-06-25
000009.XSHE,2007-04-18,7.7954,1991-06-25
000009.XSHE,2008-03-08,14.6266,1991-06-25
000009.XSHE,2009-04-25,11.6688,1991-06-25
000009.XSHE,2010-03-27,13.5694,1991-06-25
000009.XSHE,2011-03-23,14.4478,1991-06-25
000009.XSHE,2012-04-26,10.4952,1991-06-25
000009.XSHE,2013-04-27,5.6917,1991-06-25
000009.XSHE,2014-04-26,9.4462,1991-06-25
000009.XSHE,2015-04-29,9.3629,1991-06-25
000009.XSHE,2016-04-29,20.3624,1991-06-25
000009.XSHE,2017-04-27,5.2409,1991-06-25
000009.XSHE,2018-04-28,2.8125,1991-06-25
000009.XSHE,2019-04-30,4.1632,1991-06-25
000009.XSHE,2020-04-29,5.5737,1991-06-25
000012.XSHE,2001-04-07,9.175,1992-02-28
000012.XSHE,2002-04-27,8.3372,1992-02-28
000012.XSHE,2003-04-04,8.6999,1992-02-28
000012.XSHE,2004-03-16,9.8957,1992-02-28
000012.XSHE,2005-03-22,15.2689,1992-02-28
000012.XSHE,2006-03-21,13.1708,1992-02-28
000012.XSHE,2007-03-20,13.0131,1992-02-28
000012.XSHE,2008-03-19,12.9975,1992-02-28
000012.XSHE,2009-03-31,9.8246,1992-02-28
000012.XSHE,2010-03-30,16.8749,1992-02-28
000012.XSHE,2011-03-22,24.8745,1992-02-28
000012.XSHE,2012-03-27,17.7231,1992-02-28
000012.XSHE,2013-03-26,4.0029,1992-02-28
000012.XSHE,2014-03-25,20.6663,1992-02-28
000012.XSHE,2015-03-31,9.6937,1992-02-28
000012.XSHE,2016-03-25,7.8138,1992-02-28
000012.XSHE,2017-04-28,10.3233,1992-02-28
000012.XSHE,2018-04-23,10.1477,1992-02-28
000012.XSHE,2019-04-17,5.1586,1992-02-28
000012.XSHE,2020-04-30,5.7685,1992-02-28
000016.XSHE,2001-03-24,6.3438,1992-03-27
000016.XSHE,2002-04-11,-21.6086,1992-03-27
000016.XSHE,2003-04-21,1.2164,1992-03-27
000016.XSHE,2004-04-20,3.3651,1992-03-27
000016.XSHE,2005-04-19,4.5071,1992-03-27
000016.XSHE,2006-04-27,2.245,1992-03-27
000016.XSHE,2007-04-19,3.1518,1992-03-27
000016.XSHE,2008-04-08,6.0489,1992-03-27
000016.XSHE,2009-04-30,6.8565,1992-03-27
000016.XSHE,2010-04-30,3.9358,1992-03-27
000016.XSHE,2011-04-28,2.1293,1992-03-27
000016.XSHE,2012-04-27,0.6237,1992-03-27
000016.XSHE,2013-04-27,1.1381,1992-03-27
000016.XSHE,2014-04-04,1.1118,1992-03-27
000016.XSHE,2015-04-03,1.2849,1992-03-27
000016.XSHE,2016-04-08,-36.3355,1992-03-27
000016.XSHE,2017-03-31,3.3476,1992-03-27
000016.XSHE,2018-03-31,92.8267,1992-03-27
000016.XSHE,2019-03-30,5.1095,1992-03-27
000016.XSHE,2020-04-22,2.622,1992-03-27
000021.XSHE,2001-03-02,6.6459,1994-02-02
000021.XSHE,2002-04-12,-0.3982,1994-02-02
000021.XSHE,2003-04-24,2.6715,1994-02-02
000021.XSHE,2004-04-26,9.1609,1994-02-02
000021.XSHE,2005-04-11,8.8092,1994-02-02
000021.XSHE,2006-04-25,11.4071,1994-02-02
000021.XSHE,2007-04-21,11.4301,1994-02-02
000021.XSHE,2008-04-19,20.4747,1994-02-02
000021.XSHE,2009-04-23,9.1054,1994-02-02
000021.XSHE,2010-04-24,7.2444,1994-02-02
000021.XSHE,2011-03-31,9.8352,1994-02-02
000021.XSHE,2012-03-30,6.1038,1994-02-02
000021.XSHE,2013-03-29,2.3283,1994-02-02
000021.XSHE,2014-03-31,5.2073,1994-02-02
000021.XSHE,2015-03-30,3.5821,1994-02-02
000021.XSHE,2016-03-31,3.5529,1994-02-02
000021.XSHE,2017-03-31,4.0989,1994-02-02
000021.XSHE,2018-04-12,9.7398,1994-02-02
000021.XSHE,2019-04-20,8.7308,1994-02-02
000021.XSHE,2020-04-24,5.184,1994-02-02
000022.XSHE,2001-04-12,7.7598,1993-05-05
000022.XSHE,2002-04-09,7.9628,1993-05-05
000022.XSHE,2003-04-18,15.9501,1993-05-05
000022.XSHE,2004-03-31,22.4367,1993-05-05
000022.XSHE,2005-03-31,31.9482,1993-05-05
000022.XSHE,2006-04-13,29.4721,1993-05-05
000022.XSHE,2007-04-19,28.2023,1993-05-05
000022.XSHE,2008-04-10,27.3858,1993-05-05
000022.XSHE,2009-04-11,24.0733,1993-05-05
000022.XSHE,2010-04-10,14.9375,1993-05-05
000022.XSHE,2011-03-29,19.5873,1993-05-05
000022.XSHE,2012-03-28,15.0774,1993-05-05
000022.XSHE,2013-03-27,13.0735,1993-05-05
000022.XSHE,2014-03-29,13.1892,1993-05-05
000022.XSHE,2015-03-27,10.3581,1993-05-05
000022.XSHE,2016-03-28,12.338,1993-05-05
000022.XSHE,2017-03-28,11.6374,1993-05-05
000022.XSHE,2018-03-07,10.4454,1993-05-05
000024.XSHE,2001-04-14,12.0901,1993-06-07
000024.XSHE,2002-04-08,7.986,1993-06-07
000024.XSHE,2003-03-18,10.3018,1993-06-07
000024.XSHE,2004-03-09,11.7599,1993-06-07
000024.XSHE,2005-02-04,10.9526,1993-06-07
000024.XSHE,2006-03-08,11.6668,1993-06-07
000024.XSHE,2007-03-20,13.9984,1993-06-07
000024.XSHE,2008-02-20,20.3674,1993-06-07
000024.XSHE,2009-03-31,10.7848,1993-06-07
000024.XSHE,2010-04-20,10.5592,1993-06-07
000024.XSHE,2011-03-22,11.665,1993-06-07
000024.XSHE,2012-03-20,13.42,1993-06-07
000024.XSHE,2013-03-19,15.1478,1993-06-07
000024.XSHE,2014-03-18,16.7687,1993-06-07
000024.XSHE,2015-03-10,14.748,1993-06-07
000027.XSHE,2001-04-13,16.8476,1993-09-03
000027.XSHE,2002-04-16,15.528,1993-09-03
000027.XSHE,2003-04-22,18.4633,1993-09-03
000027.XSHE,2004-04-13,21.0448,1993-09-03
000027.XSHE,2005-04-06,17.527,1993-09-03
000027.XSHE,2006-04-19,16.819,1993-09-03
000027.XSHE,2007-04-17,17.21,1993-09-03
