order_book_id,datetime,last_quantity,side,last_price,transaction_cost
000008.XSHE,2020-08-18,18700.0,SELL,3.17,0
000009.XSHE,2020-08-18,83000.0,BUY,8.27,0
000012.XSHE,2020-08-18,15400.0,SELL,6.27,0
000021.XSHE,2020-08-18,6600.0,SELL,26.75,0
000025.XSHE,2020-08-18,4400.0,BUY,22.7,0
000027.XSHE,2020-08-18,11900.0,SELL,5.74,0
000028.XSHE,2020-08-18,4300.0,SELL,55.42,0
000031.XSHE,2020-08-18,12400.0,SELL,5.8,0
000039.XSHE,2020-08-18,31000.0,BUY,9.16,0
000046.XSHE,2020-08-18,13100.0,SELL,4.27,0
000050.XSHE,2020-08-18,11400.0,SELL,17.35,0
000060.XSHE,2020-08-18,20100.0,SELL,4.68,0
000061.XSHE,2020-08-18,6400.0,SELL,8.85,0
000062.XSHE,2020-08-18,800.0,BUY,15.85,0
000078.XSHE,2020-08-18,14300.0,SELL,4.82,0
000089.XSHE,2020-08-18,9000.0,SELL,10.3,0
000090.XSHE,2020-08-18,12300.0,SELL,8.99,0
000156.XSHE,2020-08-18,3700.0,SELL,11.34,0
000158.XSHE,2020-08-18,9800.0,SELL,10.33,0
000301.XSHE,2020-08-18,35000.0,BUY,5.77,0
000400.XSHE,2020-08-18,5200.0,SELL,16.89,0
000401.XSHE,2020-08-18,7300.0,SELL,18.58,0
000402.XSHE,2020-08-18,12200.0,SELL,7.01,0
000415.XSHE,2020-08-18,15800.0,SELL,3.03,0
000488.XSHE,2020-08-18,7600.0,SELL,5.25,0
000501.XSHE,2020-08-18,600.0,BUY,24.9,0
000513.XSHE,2020-08-18,7700.0,BUY,53.41,0
000519.XSHE,2020-08-18,7100.0,SELL,11.54,0
000528.XSHE,2020-08-18,10900.0,SELL,7.46,0
000537.XSHE,2020-08-18,2000.0,SELL,7.77,0
000543.XSHE,2020-08-18,8400.0,SELL,4.22,0
000547.XSHE,2020-08-18,33900.0,BUY,20.82,0
000559.XSHE,2020-08-18,8100.0,SELL,5.9,0
000563.XSHE,2020-08-18,20700.0,SELL,4.18,0
000581.XSHE,2020-08-18,5600.0,SELL,24.36,0
000598.XSHE,2020-08-18,15400.0,SELL,5.23,0
